Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
KINGSFORD . HILLVIEW PEAK,"1,720,000","1,097.93","1,567",Feb-26,HILLVIEW RISE,Resale,Strata,102,"16,863",-,Condominium,1,99 yrs lease commencing from 2012,23,Outside Central Region,01 to 05
TREASURE AT TAMPINES,"1,220,000",678.13,"1,799",Feb-26,TAMPINES LANE,Resale,Strata,63,"19,365",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,06 to 10
THE EQUATORIAL,"5,680,000","3,455.24","1,644",Feb-26,STEVENS ROAD,Resale,Strata,321,"17,695",-,Condominium,1,Freehold,10,Core Central Region,11 to 15
CARISSA PARK CONDOMINIUM,"1,150,000",925.7,"1,242",Feb-26,FLORA DRIVE,Resale,Strata,86,"13,372",-,Condominium,1,Freehold,17,Outside Central Region,01 to 05
STIRLING RESIDENCES,"1,153,888",505.91,"2,281",Feb-26,STIRLING ROAD,Resale,Strata,47,"24,551",-,Apartment,1,99 yrs lease commencing from 2017,03,Rest of Central Region,16 to 20
ARDMORE THREE,"6,280,000","1,743.77","3,601",Feb-26,ARDMORE PARK,Resale,Strata,162,"38,765",-,Condominium,1,Freehold,10,Core Central Region,31 to 35
THE LAKESHORE,"1,700,000","1,108.69","1,533",Feb-26,JURONG WEST STREET 41,Resale,Strata,103,"16,505",-,Condominium,1,99 yrs lease commencing from 2002,22,Outside Central Region,06 to 10
THE GLADES,"1,215,000",688.9,"1,764",Feb-26,BEDOK RISE,Resale,Strata,64,"18,984",-,Condominium,1,99 yrs lease commencing from 2013,16,Outside Central Region,01 to 05
JADESCAPE,"2,750,000","1,054.87","2,607",Feb-26,SHUNFU ROAD,Resale,Strata,98,"28,061",-,Condominium,1,99 yrs lease commencing from 2018,20,Rest of Central Region,21 to 25
THE LAURELS,"2,580,000",882.65,"2,923",Feb-26,CAIRNHILL ROAD,Resale,Strata,82,"31,463",-,Condominium,1,Freehold,09,Core Central Region,11 to 15
BARTLEY RIDGE,"1,520,000",742.72,"2,047",Feb-26,MOUNT VERNON ROAD,Resale,Strata,69,"22,029",-,Condominium,1,99 yrs lease commencing from 2012,13,Rest of Central Region,01 to 05
SILVERSEA,"5,058,000","2,518.78","2,008",Feb-26,MARINE PARADE ROAD,Resale,Strata,234,"21,615",-,Condominium,1,99 yrs lease commencing from 2007,15,Rest of Central Region,11 to 15
THE MADEIRA,"1,450,000","1,377.79","1,052",Feb-26,BUKIT BATOK STREET 31,Resale,Strata,128,"11,328",-,Condominium,1,99 yrs lease commencing from 2000,23,Outside Central Region,01 to 05
A TREASURE TROVE,"1,750,000","1,044.11","1,676",Feb-26,PUNGGOL WALK,Resale,Strata,97,"18,041",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
PARKVIEW ECLAT,"10,728,300","3,250.73","3,300",Feb-26,GRANGE ROAD,Resale,Strata,302,"35,524",-,Condominium,1,Freehold,10,Core Central Region,11 to 15
LEEDON RESIDENCE,"2,800,000","1,044.11","2,682",Feb-26,LEEDON HEIGHTS,Resale,Strata,97,"28,866",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
AVILA GARDENS,"1,055,000",893.41,"1,181",Feb-26,FLORA ROAD,Resale,Strata,83,"12,711",-,Condominium,1,Freehold,17,Outside Central Region,01 to 05
AQUARIUS BY THE PARK,"1,718,000","1,323.97","1,298",Feb-26,BEDOK RESERVOIR VIEW,Resale,Strata,123,"13,967",-,Condominium,1,99 yrs lease commencing from 1996,16,Outside Central Region,01 to 05
THE TESSARINA,"3,433,000","1,700.71","2,019",Feb-26,WILBY ROAD,Resale,Strata,158,"21,728",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
WEMBLY RESIDENCES,"2,640,000","1,883.7","1,401",Feb-26,YIO CHU KANG ROAD,Resale,Strata,175,"15,086",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
THE CORNWALL,"3,250,000","1,657.66","1,961",Feb-26,CORNWALL GARDENS,Resale,Strata,154,"21,104",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
ONE JERVOIS,"2,238,000",990.29,"2,260",Feb-26,JERVOIS CLOSE,Resale,Strata,92,"24,326",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
THE MAYFAIR,"1,420,000","1,173.28","1,210",Feb-26,JURONG EAST STREET 32,Resale,Strata,109,"13,028",-,Condominium,1,99 yrs lease commencing from 1996,22,Outside Central Region,01 to 05
BOATHOUSE RESIDENCES,"1,708,000","1,119.46","1,526",Feb-26,UPPER SERANGOON VIEW,Resale,Strata,104,"16,423",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15
BARTLEY RIDGE,"2,150,000",968.76,"2,219",Feb-26,MOUNT VERNON ROAD,Resale,Strata,90,"23,889",-,Condominium,1,99 yrs lease commencing from 2012,13,Rest of Central Region,11 to 15
MODENA,"1,820,000","1,442.38","1,262",Feb-26,SIMEI STREET 4,Resale,Strata,134,"13,582",-,Condominium,1,99 yrs lease commencing from 1997,18,Outside Central Region,06 to 10
FYVE DERBYSHIRE,"1,400,000",559.73,"2,501",Feb-26,DERBYSHIRE ROAD,Resale,Strata,52,"26,923",-,Apartment,1,Freehold,11,Core Central Region,01 to 05
LA SUISSE,"3,188,000","2,109.74","1,511",Feb-26,SWISS VIEW,Resale,Strata,196,"16,265",-,Condominium,1,999 yrs lease commencing from 1878,11,Core Central Region,01 to 05
CLAVON,"2,139,999",958,"2,234",Feb-26,CLEMENTI AVENUE 1,Resale,Strata,89,"24,045",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,16 to 20
THE QUAYSIDE,"1,765,000","1,130.22","1,562",Feb-26,ROBERTSON QUAY,Resale,Strata,105,"16,810",-,Apartment,1,99 yrs lease commencing from 1994,09,Core Central Region,06 to 10
HERITAGE VIEW,"1,550,000",968.76,"1,600",Feb-26,DOVER RISE,Resale,Strata,90,"17,222",-,Condominium,1,99 yrs lease commencing from 1996,05,Rest of Central Region,06 to 10
IVORY HEIGHTS,"1,688,000","1,668.42","1,012",Feb-26,JURONG EAST STREET 13,Resale,Strata,155,"10,890",-,Condominium,1,100 yrs lease commencing from 1986,22,Outside Central Region,11 to 15
BULLION PARK,"1,900,000","1,237.86","1,535",Feb-26,LENTOR LOOP,Resale,Strata,115,"16,522",-,Condominium,1,Freehold,26,Outside Central Region,01 to 05
ST MARTIN RESIDENCE,"4,050,000","1,743.77","2,323",Feb-26,ST. MARTIN'S DRIVE,Resale,Strata,162,"25,000",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
SELETAR PARK RESIDENCE,"1,197,000","1,011.82","1,183",Feb-26,SELETAR ROAD,Resale,Strata,94,"12,734",-,Condominium,1,99 yrs lease commencing from 2011,28,Outside Central Region,01 to 05
VIZ AT HOLLAND,"928,000",495.14,"1,874",Feb-26,QUEENSWAY,Resale,Strata,46,"20,174",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
THE OCEANFRONT @ SENTOSA COVE,"2,068,880","1,216.33","1,701",Feb-26,OCEAN DRIVE,Resale,Strata,113,"18,309",-,Condominium,1,99 yrs lease commencing from 2005,04,Core Central Region,06 to 10
THE TENNERY,"840,000",613.55,"1,369",Feb-26,WOODLANDS ROAD,Resale,Strata,57,"14,737",-,Apartment,1,99 yrs lease commencing from 2010,23,Outside Central Region,06 to 10
THE PARC CONDOMINIUM,"2,610,000","1,302.44","2,004",Feb-26,WEST COAST WALK,Resale,Strata,121,"21,570",-,Condominium,1,Freehold,05,Outside Central Region,11 to 15
MILL POINT,"2,230,000",914.94,"2,437",Feb-26,ZION CLOSE,Resale,Strata,85,"26,235",-,Apartment,1,999 yrs lease commencing from 1877,10,Core Central Region,16 to 20
MILL POINT,"2,600,000","1,323.97","1,964",Feb-26,ZION CLOSE,Resale,Strata,123,"21,138",-,Apartment,1,999 yrs lease commencing from 1877,10,Core Central Region,16 to 20
WHITEHAVEN,"1,800,000","1,001.05","1,798",Feb-26,PASIR PANJANG ROAD,Resale,Strata,93,"19,355",-,Apartment,1,Freehold,05,Rest of Central Region,01 to 05
SPRING @ LANGSAT,"775,000",473.62,"1,636",Feb-26,LANGSAT ROAD,Resale,Strata,44,"17,614",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
SUNGLADE,"1,980,000","1,151.75","1,719",Feb-26,SERANGOON AVENUE 2,Resale,Strata,107,"18,505",-,Condominium,1,99 yrs lease commencing from 2000,19,Outside Central Region,01 to 05
MANDARIN GARDENS,"1,600,000","1,001.05","1,598",Feb-26,SIGLAP ROAD,Resale,Strata,93,"17,204",-,Condominium,1,99 yrs lease commencing from 1982,15,Outside Central Region,11 to 15
CLAVON,"3,095,000","1,356.26","2,282",Feb-26,CLEMENTI AVENUE 1,Resale,Strata,126,"24,563",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,16 to 20
COASTLINE RESIDENCES,"1,780,000",710.42,"2,506",Feb-26,AMBER ROAD,Resale,Strata,66,"26,970",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
LIVIA,"1,375,000","1,151.75","1,194",Feb-26,PASIR RIS GROVE,Resale,Strata,107,"12,850",-,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,01 to 05
KOPAR AT NEWTON,"2,480,000",914.94,"2,711",Feb-26,MAKEWAY AVENUE,Resale,Strata,85,"29,176",-,Apartment,1,99 yrs lease commencing from 2019,09,Core Central Region,16 to 20
PARC CLEMATIS,"2,050,000",968.76,"2,116",Feb-26,JALAN LEMPENG,Resale,Strata,90,"22,778",-,Apartment,1,99 yrs lease commencing from 2019,05,Outside Central Region,11 to 15
